"city","code"
"BORDEAUX","BRDX"
"TALENCE","BRDX"
"BRETAGNE","BRET"
"RENNES","BRET"
"CLERMONT-FERRAND","CLRF"
"CLERMONT FERRAND","CLRF"
"GRENOBLE","GRNO"
"LILLE","LILL"
"VILLENEUVE D'ASCQ","LILL"
"VILLENEUVE-D'ASCQ","LILL"
"VILLENEUVE D ASCQ","LILL"
"VILLENEUVE-D ASCQ","LILL"
"VILLENEUVE-DASCQ","LILL"
"VILLENEUVE DASCQ","LILL"
"LYON","LYON"
"VAULX EN VELIN","LYON"
"VAULX-EN-VELIN","LYON"
"VAULX-EN VELIN","LYON"
"VAULX EN-VELIN","LYON"
"MONTPELLIER","MOPL"
"NANTES","NANT"
"NANCY","NNCY"
"NORMANDIE","NRMD"
"ROUEN","NRMD"
"DARNETAL","NRMD"
"SAINT-ETIENNE","STET"
"SAINT ETIENNE","STET"
"ST-ETIENNE","STET"
"ST ETIENNE","STET"
"STRASBOURG","STRB"
"TOULOUSE","TOUL"