"word","code"
"LA DEFENSE","DEFS"
"ENSA DE MARSEILLE","MRSL"
"ECOLE NATIONALE SUPERIEURE D'ARCHITECTURE DE MARSEILLE","MRSL"
"ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE MARSEILLE","MRSL"
"EA DE MARSEILLE","MRSL"
"ECOLE D ARCHITECTURE DE MARSEILLE","MRSL"
"ECOLE D'ARCHITECTURE DE MARSEILLE","MRSL"
"MALAQUAIS","MALQ"
"PARIS-EST","MLVL"
"PARIS EST","MLVL"
"MARNE LA VALLEE","MLVL"
"MARNE-LA-VALLEE","MLVL"
"MARNE-LA VALLEE","MLVL"
"MARNE LA-VALLEE","MLVL"
"BELLEVILLE","PBLV"
"LA VILLETTE","PLVT"
"LA-VILLETTE","PLVT"
"VAL DE MARNE","PVDM"
"VAL-DE-MARNE","PVDM"
"VAL-DE MARNE","PVDM"
"VAL DE-MARNE","PVDM"
"CONFLANS","PVDM"
"VAL DE SEINE","PVDS"
"VAL-DE-SEINE","PVDS"
"VAL-DE SEINE","PVDS"
"VAL DE-SEINE","PVDS"
"LA SEINE","SEIN"
"LA-SEINE","SEIN"
"TOLBIAC","TOLB"
"VILLEMIN","VILM"
"ENSA DE VERSAILLES","VRSL"
"ECOLE NATIONALE SUPERIEURE D'ARCHITECTURE DE VERSAILLES","VRSL"
"ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE VERSAILLES","VRSL"
"EA DE VERSAILLES","VRSL"
"ECOLE D'ARCHITECTURE DE VERSAILLES","VRSL"
"ECOLE D ARCHITECTURE DE VERSAILLES","VRSL"