"code","name"
"CCJP","CCJP (Concepteur et créateur de jardin dans le paysage)"
"CEAA","CEAA (Certificat d'études approfondies en architecture)"
"CESP","CESP (Certificat d'études supérieures paysagères)"
"DPEA","DPEA (Diplôme propre aux ENSA)"
"DSA","DSA (Diplôme de spécialisation et d'approfondissement)"
"MASTERE","Mastère"
"MES","Mémoire de master (MES)"
"MHMONP","Mémoire HMONP (Habilitation à la maîtrise d'œuvre en son nom propre)"
"MEMU","Mémoire universitaire"
"PFE","PFE (Projet de fin d'études)"
"RAPL","Rapport d'études (licence)"
"THES","Thèse"
"TPFE","TPFE (Travail personnel de fin d'études)"
"TATE","Travaux d'ateliers"